"Loja","Data de lançamento do cupom fiscal","Número do caixa","Tipo da transação","Nº Cupom fiscal","Nº do produto","Texto breve material","Lote","Tipo de estoque","Grupo de mercadorias","Seção","Denominação da seção","Subseção","Denominação da subseção","Quantidade vendida","Quantidade tarefa","Quantidade inventariada","Quantidade disponibilizada","UMB","Nº doc.invent.físico","Ano doc.inv.fís.","Totalmente disponibilizado","Criado em","Hora registro","Criado por",
"1002","2026-02-11","8","1001","334061","89053160","ANEL VED VASO C/ GUIA BLUKIT","","0L","","08","HIDRAULICA","0812","COMPLEMENTOS EVACUACAO","2","2","0","2","UN","0","","true","2026-02-11","18:17:58","SRV_RFC_CAR",
"1002","2026-02-01","6","1001","207198","89044676","PASTILHA CLORO 3X1 200G GENCO","","0L","","08","HIDRAULICA","0818","PISCINAS","3","3","0","3","UN","0","","true","2026-02-01","09:04:47","SRV_RFC_CAR",
"1002","2026-02-01","16","1001","53535","89044795","SULFATO ALUMINIO 2KG GENCO","","0L","","08","HIDRAULICA","0818","PISCINAS","3","3","0","3","UN","0","","true","2026-02-01","09:07:47","SRV_RFC_CAR",
"1002","2026-02-01","16","1001","53535","89629085","CLORO GRAN ESTAB 1KG OXYPOWER ASTRALPOOL","","0L","","08","HIDRAULICA","0818","PISCINAS","1","1","0","1","UN","0","","true","2026-02-01","09:07:47","SRV_RFC_CAR",
"1002","2026-02-01","19","1001","112031","89183290","CESTO PIA VALV AMER PLAST CR 3.1/2 OVERT","","0L","","08","HIDRAULICA","0812","COMPLEMENTOS EVACUACAO","1","1","0","1","UN","0","","true","2026-02-01","09:08:47","SRV_RFC_CAR",
"1002","2026-02-01","19","1001","112031","89207244","TUBO ESG SN PVC 3M DN50 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-01","09:08:47","SRV_RFC_CAR",
"1002","2026-02-01","11","1001","177140","89300043","FITA VEDA ROSCA 18MMX10M FIRLON","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-01","09:09:47","SRV_RFC_CAR",
"1002","2026-02-01","11","1001","177140","89513592","TORN BOIA PLAST VD 3/4 VIQUA","","0L","","08","HIDRAULICA","0806","COMPLEMENTOS AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-01","09:09:47","SRV_RFC_CAR",
"1002","2026-02-05","8","1001","331226","89565511","LUVA ROSC 3/4 KRONA","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-05","09:02:59","SRV_RFC_CAR",
"1002","2026-02-05","10","1001","306917","89049471","ADESIVO PLAST PVC BISNAGA 75G AMANCO","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-05","09:02:59","SRV_RFC_CAR",
"1002","2026-02-05","10","1001","306917","89208483","TUBO SOLD AF PVC 3M 25MM FORTLEV","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","5","5","0","5","UN","0","","true","2026-02-05","09:02:59","SRV_RFC_CAR",
"1002","2026-02-05","10","1001","306917","89289613","CURVA 90 SOLD 25MM FORTLEV","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","5","5","0","5","UN","0","","true","2026-02-05","09:02:59","SRV_RFC_CAR",
