"Loja","Data de lançamento do cupom fiscal","Número do caixa","Tipo da transação","Nº Cupom fiscal","Nº do produto","Texto breve material","Lote","Tipo de estoque","Grupo de mercadorias","Seção","Denominação da seção","Subseção","Denominação da subseção","Quantidade vendida","Quantidade tarefa","Quantidade inventariada","Quantidade disponibilizada","UMB","Nº doc.invent.físico","Ano doc.inv.fís.","Totalmente disponibilizado","Criado em","Hora registro","Criado por",
"1005","2026-02-11","12","1001","230794","89107144","BICO TORN PLAST PT 3/4 X 1/2 GARDEN","","0L","","08","HIDRAULICA","0821","IRRIGACAO","1","1","0","1","UN","0","","true","2026-02-11","18:16:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230794","89443046","CONECTOR MANG C/ BLOQ ER 1/2 TRAMONT","","0L","","08","HIDRAULICA","0821","IRRIGACAO","1","1","0","1","UN","0","","true","2026-02-11","18:16:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230794","89443053","UNIAO MANGUEIRA ROSCA 1/2 TRAMONT","","0L","","08","HIDRAULICA","0821","IRRIGACAO","1","1","0","1","UN","0","","true","2026-02-11","18:16:59","SRV_RFC_CAR",
"1005","2026-02-11","1","1001","319511","89873546","KIT ACIO DUPLO P/CAIXA ACOPLADA BLUKIT","","0L","","08","HIDRAULICA","0806","COMPLEMENTOS AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-11","18:17:59","SRV_RFC_CAR",
"1005","2026-02-01","3","1001","279370","89289396","JOELHO 45 ESG SN PVC DN50 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-01","09:06:47","SRV_RFC_CAR",
"1005","2026-02-01","2","1001","179393","89044676","PASTILHA CLORO 3X1 200G GENCO","","0L","","08","HIDRAULICA","0818","PISCINAS","1","1","0","1","UN","0","","true","2026-02-01","09:08:47","SRV_RFC_CAR",
"1005","2026-02-01","2","1001","179393","89044725","CLARIFICANTE AUX FILTRACAO 1L GENCO","","0L","","08","HIDRAULICA","0818","PISCINAS","1","1","0","1","UN","0","","true","2026-02-01","09:08:47","SRV_RFC_CAR",
"1005","2026-02-01","2","1001","179393","89795755","ALGICIDA CHOQUE 1L HTH","","0L","","08","HIDRAULICA","0818","PISCINAS","3","3","0","3","UN","0","","true","2026-02-01","09:08:47","SRV_RFC_CAR",
"1005","2026-02-11","6","1001","114482","89873511","KIT ACIO P/ CAIXA ACOPLADA CASTELO BRA","","0L","","08","HIDRAULICA","0806","COMPLEMENTOS AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-11","16:05:59","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119736","89289284","LUVA SIMPLES ESG SN PVC DN100 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-11","16:05:59","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119736","89290124","CAP ESG SN PVC DN100 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","2","2","0","2","UN","0","","true","2026-02-11","16:05:59","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119736","89290222","JUNCAO SIMPLES ESG SN PVC DN100 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-11","16:05:59","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119738","89300064","FITA VEDA ROSCA 18MMX50M FIRLON","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","2","2","0","2","UN","0","","true","2026-02-11","16:06:58","SRV_RFC_CAR",
"1005","2026-02-11","4","1001","142450","89300064","FITA VEDA ROSCA 18MMX50M FIRLON","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-11","16:08:10","SRV_RFC_CAR",
"1005","2026-02-11","4","1001","142450","89673745","PROLONG MEDIO MF LATAO CR 40MM 1/2 FURKI","","0L","","08","HIDRAULICA","0806","COMPLEMENTOS AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-11","16:08:10","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119743","89300064","FITA VEDA ROSCA 18MMX50M FIRLON","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","1","1","0","1","UN","0","","true","2026-02-11","16:10:59","SRV_RFC_CAR",
"1005","2026-02-11","4","1001","142459","89572014","GRELHA ABRE FEC QUAD INOX DN100 BOGNAR","","0L","","08","HIDRAULICA","0812","COMPLEMENTOS EVACUACAO","1","1","0","1","UN","0","","true","2026-02-11","16:13:59","SRV_RFC_CAR",
"1005","2026-02-11","8","1001","67598","89289263","JOELHO 90 ESG SN PVC DN40 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","2","2","0","2","UN","0","","true","2026-02-11","16:13:59","SRV_RFC_CAR",
"1005","2026-02-11","8","1001","67598","89289375","JOELHO 45 ESG SN PVC DN40 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","2","2","0","2","UN","0","","true","2026-02-11","16:13:59","SRV_RFC_CAR",
"1005","2026-02-11","8","1001","67598","89290194","JUNCAO SIMPLES ESG SN PVC DN40 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-11","16:13:59","SRV_RFC_CAR",
"1005","2026-02-11","8","1001","67598","89334931","JOELHO 90 ANEL ESG SN PVC DN40 FORTLEV","","0L","","08","HIDRAULICA","0809","EVACUACAO","4","4","0","4","UN","0","","true","2026-02-11","16:13:59","SRV_RFC_CAR",
"1005","2026-02-11","15","1001","119749","89040112","JOELHO 90 VISITA ESG SN DN100X50 TIGRE","","0L","","08","HIDRAULICA","0809","EVACUACAO","1","1","0","1","UN","0","","true","2026-02-11","16:15:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230728","89565574","PLUG ROSC 1/2 KRONA","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","9","9","0","9","UN","0","","true","2026-02-11","16:16:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230728","89286792","TE SOLD BUCHA LT AZ 25MMX1/2 TIGRE","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","2","2","0","2","UN","0","","true","2026-02-11","16:16:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230728","89197724","JOELHO 90 SOLD BC LT AZ 25MMX1/2 TIGRE","","0L","","08","HIDRAULICA","0803","ALIMENTACAO AGUA FRIA E AGUA QUENTE","9","9","0","9","UN","0","","true","2026-02-11","16:16:59","SRV_RFC_CAR",
"1005","2026-02-11","12","1001","230728","89103203","BASE REG GAV BRUTO 4509 3/4 DECA","","0L","","08","HIDRAULICA","0806","COMPLEMENTOS AGUA FRIA E AGUA QUENTE","6","6","0","6","UN","0","","true","2026-02-11","16:16:59","SRV_RFC_CAR",
