"Pessoa autorizada a dispor","Tipo de depósito","Posição no depósito","Produto","Descrição produto","Lote","Documento","Data EM","Qtd.entr.UMAlt.","Qtd.saída UMA","Qtd.disponível UMA","Qtd.UMA","Unidade med.altern.","Qtd.disponível UMB","Quantidade","UM básica","Tipo de estoque","Denom.tipo estoque","Moeda","Valor total","Número de UCs","Hr.entr.mercadorias","Nº de quantos","Corr.pos.dep.","Col.posição depósito","Nível pos.dep.","Subdiv.pos.dep.","Bloq.saída depós.","Bloq.entr.depósito","Inv.fís.ativo","Unidade de transporte",
"1012","AEL","HID160101A","89540220","CAIXA SIFONADA QUAD BR 100X100X50MM KRON","","","2026-01-02","0","0","36","36","UN","36","36","UN","0L","MM 0020, vendas, livre","BRL","258.84","0","15:15:07","1","16","01","01","A","","","","",
"1012","AEL","HID160101A","89540255","SIFAO EXT UNIVERSAL DUPLO BR KRONA","","","2026-01-02","0","0","84","84","UN","84","84","UN","0L","MM 0020, vendas, livre","BRL","868.56","0","15:15:07","1","16","01","01","A","","","","",
"1012","AEL","HID160101A","89046713","SIFAO COPO EXT UNIVERSAL BR ASTRA","","","2026-01-28","0","0","60","60","UN","60","60","UN","0L","MM 0020, vendas, livre","BRL","500.40","0","08:40:46","1","16","01","01","A","","","","",
"1012","AEL","HID160101A","89046720","SIFAO COPO EXT UNIVERSAL CR ASTRA","","","2025-12-01","0","0","30","30","UN","30","30","UN","0L","MM 0020, vendas, livre","BRL","646.50","0","16:33:06","1","16","01","01","A","","","","",
"1012","AEL","HID160102A","89540241","SIFAO EXT UNIVERSAL LONGO BR 1,5M KRONA","","","2026-01-07","0","0","210","210","UN","210","210","UN","0L","MM 0020, vendas, livre","BRL","1707.30","0","11:26:30","1","16","01","02","A","","","","",
"1012","AEL","HID160103A","89840324","TE MACHO GÁS 20MMX3/4 PRENSAR EMMETI","","","2025-10-24","0","0","1","1","UN","1","1","UN","0L","MM 0020, vendas, livre","BRL","21.90","0","14:38:21","1","16","01","03","A","","","","",
"1012","AEL","HID160201A","89873721","TORNEIRA BOIA NEO 3/4"" E 1/2" BLUKIT","","","2025-06-05","0","0","502","502","UN","502","502","UN","0L","MM 0020, vendas, livre","BRL","3212.80","0","09:13:57","1","16","02","01","A","","","","",
"1012","AEL","HID160301A","89629365","SIFAO COPO EXT UNIVERSAL PT ASTRA","","","2026-01-28","0","0","40","40","UN","40","40","UN","0L","MM 0020, vendas, livre","BRL","428.40","0","08:40:46","1","16","03","01","A","","","","",
"1012","AEL","HID160301A","89470493","VALV LAV MET CB BD TP PLA 1(7/8) BOGNAR","","","2025-11-28","0","0","120","120","UN","120","120","UN","0L","MM 0020, vendas, livre","BRL","1688.40","0","16:35:40","1","16","03","01","A","","","","",
"1012","AEL","HID160301A","89611284","PARAFUSO VASO E BIDE B10 80MM INOX BOGNA","","","2025-11-28","0","0","480","480","UN","480","480","UN","0L","MM 0020, vendas, livre","BRL","2486.40","0","16:35:43","1","16","03","01","A","","","","",
"1012","AEL","HID160302A","89745166","BOLSA LIGACAO VASO EXCENT PT ASTRA","","","2025-12-01","0","0","39","39","UN","39","39","UN","0L","MM 0020, vendas, livre","BRL","433.68","0","16:33:06","1","16","03","02","A","","","","",
"1012","AEL","HID160302A","89273205","SIFAO COPO EXT UNIVERSAL BR TIGRE","","","2026-01-29","0","0","100","100","UN","100","100","UN","0L","MM 0020, vendas, livre","BRL","1388.00","0","11:28:21","1","16","03","02","A","","","","",
